City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1216,Salto,UY,-31.38,-57.97,75.2,50,86,6.93,overcast clouds
1217,Whitianga,NZ,-36.83,175.7,50.0,93,37,5.01,scattered clouds
1218,Santa Quiteria,BR,-4.33,-40.16,100.04,20,1,9.19,clear sky
1219,Acarau,BR,-2.89,-40.12,89.02,51,13,20.69,few clouds
1220,Sagua La Grande,CU,22.81,-80.08,84.2,74,40,5.82,scattered clouds
1221,Gwanda,ZW,-20.93,29.0,74.48,46,16,15.79,few clouds
1222,Lodja,CD,-3.48,23.43,80.19,72,80,3.31,broken clouds
1223,Oparino,RU,59.85,48.28,42.26,79,100,5.97,light rain
1224,Darnah,LY,32.77,22.64,73.2,63,21,11.27,few clouds
1225,Bogdana,RO,43.93,25.08,64.0,65,0,1.99,clear sky
1226,Yenagoa,NG,4.92,6.26,78.87,85,91,7.58,moderate rain
1227,Palamedu,IN,10.12,78.12,82.4,69,40,9.17,scattered clouds
1228,Sulina,RO,45.16,29.65,61.95,61,0,8.63,clear sky
1229,Eyl,SO,7.98,49.82,81.88,73,40,17.78,scattered clouds
1230,Abu Samrah,SY,35.3,37.18,71.2,59,0,11.52,light rain
1231,Wote,KE,-1.78,37.63,77.52,44,69,10.83,broken clouds
1232,Bone,DE,51.97,12.14,50.0,94,100,5.01,light rain
1233,Gurupa,BR,-1.41,-51.64,97.05,36,26,5.48,scattered clouds
1234,Nan,TH,18.83,100.67,72.68,96,100,1.63,overcast clouds
1235,Choya,RU,52.01,86.55,37.89,81,85,3.74,overcast clouds
1236,Benguela,AO,-12.58,13.41,77.0,73,40,9.17,scattered clouds
1237,Adre,TD,13.47,22.2,87.19,33,59,1.77,broken clouds
1238,Svetlyy,RU,54.67,20.13,48.2,93,90,15.66,overcast clouds
1239,Narodychi,UA,51.2,29.08,54.19,59,82,7.05,broken clouds
1240,Engels,RU,51.5,46.12,61.0,5,95,8.5,overcast clouds
1241,Pontes E Lacerda,BR,-15.23,-59.34,100.49,30,78,5.64,broken clouds
1242,Nisia Floresta,BR,-6.09,-35.21,87.8,52,20,18.34,few clouds
1243,Kifri,IQ,34.7,44.97,80.67,14,23,8.59,few clouds
1244,Changde,CN,29.05,111.68,57.87,92,100,13.35,light rain
1245,Turbat,PK,26.0,63.04,77.88,15,0,17.72,clear sky
1246,Esquipulas Palo Gordo,GT,14.93,-91.82,77.0,82,100,1.01,overcast clouds
1247,Manta,EC,-0.95,-80.73,77.0,69,75,3.36,broken clouds
1248,Khor,RU,47.89,134.95,29.66,87,0,7.56,clear sky
1249,Bulgan,MN,48.81,103.53,30.56,86,45,1.3,scattered clouds
1250,Vila Do Maio,CV,15.13,-23.22,84.2,70,75,16.11,broken clouds
1251,Yangjiang,CN,21.85,111.97,79.0,74,99,17.4,moderate rain
1252,Scottsbluff,US,41.87,-103.67,53.6,58,75,12.75,broken clouds
1253,Gouyave,GD,12.16,-61.73,87.8,70,40,11.41,scattered clouds
1254,Selma,US,36.57,-119.61,64.0,59,40,5.82,smoke
1255,Oracon,PH,10.48,122.58,78.94,81,100,5.03,moderate rain
1256,Naryan-Mar,RU,67.67,53.09,33.26,92,44,10.67,scattered clouds
1257,Ouesso,CG,1.61,16.05,79.11,86,100,1.32,light rain
1258,Cangzhou,CN,38.32,116.87,54.0,69,69,8.25,light rain
1259,Rosetown,CA,51.55,-108.0,33.1,73,87,12.55,overcast clouds
1260,Muzo,CO,5.54,-74.11,80.69,57,14,4.07,light rain
1261,Bafq,IR,31.61,55.41,59.61,25,0,5.03,clear sky
1262,Maridi,SS,4.92,29.47,73.53,80,42,0.83,scattered clouds
1263,Salta,AR,-24.79,-65.41,80.6,32,0,2.24,smoke
1264,Tupelo,US,34.26,-88.7,68.0,59,1,3.36,clear sky
1265,Ivanovka,KG,42.89,75.08,51.8,32,0,6.71,clear sky
1266,Mao,ES,39.89,4.27,59.0,82,20,6.93,few clouds
1267,Mahuta,TZ,-10.87,39.45,75.15,75,70,7.83,light rain
1268,Sinjar,IQ,36.32,41.88,74.44,20,25,6.2,scattered clouds
1269,Sao Joao Do Paraiso,BR,-15.31,-42.01,87.21,31,49,8.95,scattered clouds
1270,Nanchang,CN,28.68,115.88,65.97,83,100,12.37,overcast clouds
1271,Kibaya,TZ,-5.3,36.57,70.09,55,0,10.02,clear sky
1272,Fuerte,PH,17.54,120.36,80.13,73,100,10.54,overcast clouds
1273,Pathein,MM,16.78,94.73,77.2,90,100,2.04,overcast clouds
1274,Winnemucca,US,40.97,-117.74,53.6,54,1,3.36,clear sky
1275,Ratangarh,IN,28.08,74.6,84.27,18,11,7.43,few clouds
1276,Mitsamiouli,KM,-11.38,43.28,80.6,83,75,11.41,broken clouds
1277,Canon City,US,38.44,-105.24,68.0,16,1,10.29,clear sky
1278,Khorixas,NA,-20.37,14.97,95.68,13,63,8.41,broken clouds
1279,Athens,GR,37.98,23.72,77.0,41,20,5.82,few clouds
1280,Kysyl-Syr,RU,63.9,122.76,18.28,90,23,8.3,few clouds
1281,Sintra,PT,38.8,-9.38,64.4,48,20,19.46,few clouds
1282,Pudozh,RU,61.81,36.53,39.43,90,0,3.36,clear sky
1283,Storforshei,NO,66.4,14.52,46.0,93,75,10.29,shower rain
1284,Raudeberg,NO,61.99,5.14,48.0,73,14,21.36,few clouds
1285,Brewster,US,41.4,-73.62,64.0,59,1,4.7,clear sky
1286,Aleppo,SY,36.25,37.5,72.28,57,0,11.77,clear sky
1287,Ust-Nera,RU,64.57,143.2,31.69,92,100,1.19,overcast clouds
1288,Cairo,EG,30.06,31.25,87.8,40,68,19.46,broken clouds
1289,Ormoz,SI,46.41,16.15,60.8,38,42,13.87,scattered clouds
1290,Maceio,BR,-9.67,-35.74,82.4,61,75,14.99,broken clouds
1291,Yurga,RU,55.72,84.89,43.56,81,100,17.07,overcast clouds
1292,Naruto,JP,34.18,134.62,66.2,68,75,10.29,broken clouds
1293,Maumere,ID,-8.62,122.21,80.82,75,40,4.56,scattered clouds
1294,Hailar,CN,49.2,119.7,26.19,81,0,7.76,clear sky
1295,Kampong Thum,KH,12.71,104.89,75.78,94,100,6.13,light rain
1296,Chilca,PE,-12.52,-76.74,64.4,77,90,6.93,overcast clouds
1297,Tabuk,PH,17.42,121.44,73.44,89,100,5.26,overcast clouds
1298,Kroya,ID,-7.63,109.25,66.99,86,53,5.46,broken clouds
1299,Dergachi,RU,51.23,48.77,58.59,32,100,10.07,overcast clouds
1300,Uyovu,TZ,-3.28,31.53,77.31,53,79,2.8,broken clouds
1301,Beatrice,US,40.27,-96.75,68.0,45,1,11.41,clear sky
1302,Rabo De Peixe,PT,37.8,-25.58,71.6,78,20,16.11,few clouds
1303,Atar,MR,20.52,-13.05,97.74,25,83,10.25,broken clouds
1304,Sfantu Gheorghe,RO,45.87,25.78,33.01,98,0,14.0,clear sky
1305,Ust-Maya,RU,60.42,134.53,20.03,96,100,5.32,light snow
1306,Panalingaan,PH,8.78,117.42,78.44,90,91,8.7,heavy intensity rain
1307,Dogondoutchi,NE,13.64,4.03,99.66,20,100,4.21,overcast clouds
1308,Carutapera,BR,-1.2,-46.02,88.59,53,25,12.24,scattered clouds
1309,Shiyan,CN,32.65,110.78,54.77,90,100,1.39,light rain
1310,Shenjiamen,CN,29.96,122.3,68.22,71,5,15.3,clear sky
1311,Ashtabula,US,41.7,-80.77,62.01,62,1,5.7,clear sky
1312,Nemuro,JP,43.32,145.57,49.3,61,70,20.89,broken clouds
1313,Pedernales,DO,18.04,-71.74,87.8,70,20,9.17,few clouds
1314,Kathmandu,NP,27.72,85.32,69.8,88,20,0.43,few clouds
1315,Cairns,AU,-16.92,145.77,71.6,83,90,5.82,overcast clouds
1316,Pucallpa,PE,-8.38,-74.55,87.8,58,40,5.82,scattered clouds
1317,Giddalur,IN,15.35,78.92,75.83,84,84,7.94,heavy intensity rain
1318,Pavino,RU,59.11,46.14,43.18,80,99,5.88,overcast clouds
1319,Mpophomeni,ZA,-29.57,30.19,63.0,81,27,5.59,scattered clouds
1320,Palauig,PH,15.44,119.9,80.58,73,100,3.78,light rain
1321,San Nicolas,PH,18.17,120.6,80.6,83,40,11.41,scattered clouds
1322,Jipijapa,EC,-1.33,-80.58,77.0,69,75,3.36,broken clouds
1323,Xuzhou,CN,34.18,117.16,57.7,74,100,5.88,light rain
1324,Cabinda,AO,-5.55,12.2,80.6,78,75,6.93,broken clouds
1325,Verkhoyansk,RU,67.54,133.38,17.62,94,100,4.97,light snow
1326,Kirkwall,GB,58.98,-2.96,50.0,66,75,11.41,broken clouds
1327,Baculin,PH,7.45,126.58,77.95,76,100,4.47,overcast clouds
1328,Muisne,EC,0.6,-80.03,80.6,78,75,5.82,broken clouds
1329,Lensk,RU,60.73,114.93,26.37,95,100,10.36,light snow
1330,Gorontalo,ID,0.54,123.06,76.12,84,76,2.53,broken clouds
1331,Dubbo,AU,-32.25,148.62,59.0,82,0,10.29,clear sky
1332,Ajdabiya,LY,30.76,20.23,73.09,53,0,10.02,clear sky
1333,Taltal,CL,-25.4,-70.48,65.64,52,1,8.32,clear sky
1334,Solnechnyy,RU,50.72,136.63,27.75,79,0,10.02,clear sky
1335,Turochak,RU,52.26,87.12,37.02,86,90,2.75,overcast clouds
1336,Morondava,MG,-20.28,44.28,78.06,75,0,21.32,clear sky
1337,Pedasi,PA,7.53,-80.03,81.73,71,12,2.73,moderate rain
1338,Lachhmangarh,IN,27.82,75.03,81.27,28,32,5.03,scattered clouds
1339,Calama,CL,-22.47,-68.93,69.8,17,0,18.34,clear sky
1340,Kurchum,KZ,48.57,83.65,44.24,61,11,3.42,few clouds
1341,Kabrai,IN,25.42,80.02,85.23,59,13,7.36,few clouds
1342,La Tuque,CA,47.43,-72.78,47.44,86,96,5.06,overcast clouds
1343,Singaparna,ID,-7.35,108.11,72.93,88,92,3.04,overcast clouds
1344,Kargasok,RU,59.06,80.86,46.47,85,100,13.4,overcast clouds
1345,Bouca,CF,6.51,18.27,80.83,78,2,2.35,light rain
