City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1739,Balikpapan,ID,76.42,broken clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
1741,Bosaso,SO,86.0,few clouds,11.28,49.18,Red Sea Hotel
1744,Santa Rosa,PH,80.6,heavy intensity rain,14.31,121.11,Erlyn’s Sta Rosa City Home
1748,Kalmunai,LK,84.09,overcast clouds,7.42,81.82,VS Villa
1749,Amalapuram,IN,80.6,light rain,16.58,82.02,swayamprabha service apartments
1755,Prabumulih,ID,76.12,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
1756,Haapiti,PF,75.2,broken clouds,-17.57,-149.87,Linareva Moorea Beach Resort
1759,Wadi Musa,JO,76.86,clear sky,30.32,35.48,Petra Palace Hotel
1760,Sulangan,PH,82.72,moderate rain,11.14,123.72,Maia's Beach Resort
1761,La Fria,VE,80.6,few clouds,8.22,-72.24,Estacionamiento de los toledos.
1763,Tucupita,VE,87.08,scattered clouds,9.06,-62.05,Hotel Tucupita Su​ite C.A.
1764,Sao Jose Da Coroa Grande,BR,81.57,overcast clouds,-8.9,-35.15,Crôa Mares Hotel
1766,Beihai,CN,77.25,light rain,21.48,109.1,21 Degree Hostel
1770,Cosala,MX,79.0,clear sky,24.41,-106.69,Hotel Real del Conde
1773,Chinsali,ZM,81.7,broken clouds,-10.54,32.08,Mwiluzi Motel Chinsali Ltd
1775,Dakar,SN,89.6,scattered clouds,14.69,-17.44,Novotel Dakar
1776,Bambui,BR,87.85,broken clouds,-20.01,-45.98,Paulinelli Palace Hotel
1778,Devgarh,IN,80.35,clear sky,25.53,73.9,Deogarh Mahal
1780,Macau,MO,80.6,scattered clouds,22.2,113.55,Grand Emperor Hotel
1782,Dahanu,IN,83.55,moderate rain,19.97,72.73,Pearline Beach Villas
1784,Ampanihy,MG,74.32,clear sky,-24.7,44.75,Angora Hotel
1785,Acari,PE,73.02,broken clouds,-15.43,-74.62,Hospedaje Ximens
1787,Progreso,MX,81.0,clear sky,21.28,-89.67,Playa Linda Hotel
1791,Plaridel,PH,80.6,broken clouds,14.89,120.86,St. Agatha Resort
1794,Ribas Do Rio Pardo,BR,87.6,broken clouds,-20.44,-53.76,Ataíde Martins
1796,San Policarpo,PH,78.8,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
1797,Bhadrak,IN,79.54,clear sky,21.06,86.51,Hotel bluevine
1798,Ramganj Mandi,IN,84.88,few clouds,24.65,75.93,Kota Stone Mandana
1803,Nueva Gerona,CU,84.29,light rain,21.88,-82.8,Casa de la Alegria
1804,Abha,SA,77.0,few clouds,18.22,42.51,Abha Hotel
1805,Neiafu,TO,75.2,few clouds,-18.65,-173.98,Mystic Sands
1807,Kihei,US,71.6,clear sky,20.79,-156.47,Maui Sunset
1808,Lethem,GY,88.88,scattered clouds,3.38,-59.8,Savannah Inn
1811,Contramaestre,CU,86.0,scattered clouds,20.3,-76.24,Hotel Caribeño
1815,Paredon,MX,81.91,broken clouds,16.03,-93.87,Hotel Principal Paredon
1827,Srivardhan,IN,80.58,moderate rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
1834,Ha Giang,VN,70.7,moderate rain,22.83,104.98,Truong Xuan Ecolodge
1835,Kantunilkin,MX,80.6,scattered clouds,21.09,-87.45,Posada Paraiso
1836,Mocuba,MZ,84.06,clear sky,-16.84,36.99,Phama Lodge
1847,Porto Novo,BJ,86.0,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
1848,Shirgaon,IN,83.86,moderate rain,19.7,72.7,LAXMI GARDEN BEACH RESORT
1850,Vaitape,PF,79.54,clear sky,-16.52,-151.75,Conrad Bora Bora Nui
1854,Spring Valley,US,75.2,clear sky,36.11,-115.25,Westgate Flamingo Bay Resort
1856,Buluang,PH,76.69,overcast clouds,13.31,123.34,Enon Beach Resort
1861,Veraval,IN,88.83,overcast clouds,20.9,70.37,Lords Inn Somnath
1864,Bourail,NC,70.39,overcast clouds,-21.57,165.48,Nekweta
1865,Abrau-Dyurso,RU,71.01,few clouds,44.69,37.59,Avgustin Inn
1868,Dumabato,PH,72.95,light rain,16.32,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
1869,Myitkyina,MM,79.39,clear sky,25.38,97.4,Shwe Phyu Hotel
1870,Makasar,ID,80.6,few clouds,-5.14,119.42,Aryaduta Makassar
1871,Tuy Hoa,VN,78.6,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
1872,Zhuhai,CN,80.6,few clouds,22.28,113.57,珠海粤财假日酒店
1873,Garowe,SO,87.42,broken clouds,8.41,48.48,Curubo Hotel
1875,San Buenaventura,MX,80.01,scattered clouds,27.08,-101.53,Hotel Gran Plaza
1877,Paso Del Toro,MX,82.0,clear sky,19.03,-96.12,Ex Hacienda San Pedro
1879,Mtwara,TZ,86.0,scattered clouds,-10.27,40.18,Til Hotels
1883,Pangkalanbuun,ID,74.91,light rain,-2.68,111.62,Grand Kecubung Hotel
1885,Hays,US,75.99,overcast clouds,30.05,-98.03,Sinya on Lone Man Creek
1893,Maralal,KE,74.34,scattered clouds,1.1,36.7,Ngari Hill Ecolodge
1896,Maningrida,AU,79.63,light rain,-12.07,134.27,Dhukurrdji Lodge
1899,Katobu,ID,75.83,broken clouds,-4.94,122.53,La Ode Husein
1900,Pozo Colorado,PY,81.57,moderate rain,-23.49,-58.8,Hospedaje la Amistad
1902,Bidor,MY,82.0,few clouds,4.11,101.29,Hotel Bidor mk
1904,Mumford,GH,80.22,few clouds,5.26,-0.76,Spanish Villa
1905,Malko Tarnovo,BG,71.6,broken clouds,41.98,27.53,Villa Malko Tarnovo
1910,Voi,KE,87.6,clear sky,-3.39,38.56,Voi Wildlife Lodge
1914,Cururupu,BR,86.92,broken clouds,-1.83,-44.87,Pousada Través'cia
1915,Nanuque,BR,89.92,few clouds,-17.84,-40.35,Hotel e Churrascaria Boi na Brasa
1916,Mahendranagar,NP,76.41,few clouds,28.92,80.33,Agan Cottage
1917,Port Augusta,AU,75.0,light rain,-32.5,137.77,Majestic Oasis Apartments
1924,Vicam,MX,77.0,few clouds,27.63,-110.28,Hotel Las Palmas
1927,Tiradentes,BR,88.29,broken clouds,-21.11,-44.18,Hotel Serra Vista
1931,Kariba,ZW,82.96,scattered clouds,-16.52,28.8,Caribbea Bay Hotel
